date,score
03/02/02,0.803
03/02/02,0.646
03/02/02,0.612
03/02/02,0.622
03/02/02,0.501
03/02/02,0.531
03/02/02,0.659
03/02/02,0.92
03/02/02,0.318
03/02/02,0.565
03/02/02,0.741
03/02/02,0.643
03/02/02,0.728
03/02/02,0.461
03/02/02,0.722
03/02/02,0.589
03/02/02,0.648
03/02/02,0.897
03/02/02,0.853
03/02/02,0.804
03/02/02,0.695
03/02/02,0.74
03/02/02,0.439
03/02/02,0.696
03/02/02,0.865
03/02/02,0.734
03/02/02,0.72
03/02/02,0.644
03/02/02,0.4
03/02/02,0.754
03/02/02,0.747
03/02/02,0.704
03/02/02,0.451
03/02/02,0.774
03/02/02,0.736
03/02/02,0.825
03/02/02,0.85
03/02/02,0.44
03/02/02,0.497
03/02/02,0.523
03/02/02,0.587
03/02/02,0.839
03/02/02,0.628
03/02/02,0.66
03/02/02,0.761
03/02/02,0.608
03/02/02,0.596
03/02/02,0.64
03/02/02,0.683
03/02/02,0.5
03/02/02,0.711
03/02/02,0.509
03/02/02,0.813
03/02/02,0.772
03/02/02,0.726
03/02/02,0.95
03/02/02,0.757
03/02/02,0.748
03/02/02,0.833
03/02/02,0.746
03/02/02,0.536
03/02/02,0.747
03/02/02,0.797
03/02/02,0.755
03/02/02,0.518
03/02/02,0.652
03/02/02,0.599
03/02/02,0.771
03/02/02,0.754
03/02/02,0.637
03/02/02,0.659
03/02/02,0.681
03/02/02,0.924
03/02/02,0.731
03/02/02,0.841
03/02/02,0.507
03/02/02,0.673
03/02/02,0.596
03/02/02,0.64
03/02/02,0.798
03/02/02,0.907
03/02/02,0.791
03/02/02,0.598
